Date,Open,High,Low,Close,Adj Close,Volume
2022-03-09,590.000000,596.500000,582.150024,585.299988,580.466797,363417
2022-03-10,596.799988,596.799988,584.700012,587.750000,582.896606,277473
2022-03-11,586.200012,590.000000,582.799988,586.200012,581.359375,172162
2022-03-14,587.299988,600.500000,586.200012,597.950012,593.012390,651605
2022-03-15,604.000000,604.000000,584.599976,587.650024,582.797424,194348
2022-03-16,596.000000,599.450012,592.599976,597.900024,592.962769,287788
2022-03-17,603.349976,610.900024,599.000000,601.299988,596.334656,234481
2022-03-21,605.950012,615.900024,598.099976,600.150024,595.194214,605999
2022-03-22,603.500000,611.000000,596.000000,609.900024,604.863708,472388
2022-03-23,614.000000,614.750000,607.700012,611.099976,606.053711,121561
2022-03-24,611.400024,613.900024,606.599976,610.849976,605.805786,191366
2022-03-25,611.400024,614.000000,597.450012,603.650024,598.665283,414790
2022-03-28,607.299988,608.000000,597.000000,600.099976,595.144592,315294
2022-03-29,601.599976,605.000000,599.150024,602.599976,597.623901,167312
2022-03-30,605.000000,609.299988,599.650024,600.650024,595.690063,366652
2022-03-31,601.000000,603.549988,590.250000,592.000000,587.111511,288910
2022-04-01,591.599976,603.250000,589.250000,601.450012,596.483459,340196
2022-04-04,605.000000,607.000000,599.150024,605.500000,600.500000,163739
2022-04-05,605.500000,609.400024,598.250000,599.400024,599.400024,168907
2022-04-06,598.950012,598.950012,591.000000,593.549988,593.549988,404650
2022-04-07,593.549988,593.549988,577.700012,580.900024,580.900024,549944
2022-04-08,586.000000,586.900024,580.650024,583.799988,583.799988,286238
2022-04-11,583.799988,584.000000,568.200012,571.200012,571.200012,684132
2022-04-12,571.599976,571.599976,556.200012,558.849976,558.849976,629458
2022-04-13,560.000000,565.599976,554.650024,559.299988,559.299988,479143
2022-04-18,550.000000,550.000000,536.000000,538.750000,538.750000,835625
2022-04-19,542.099976,545.849976,526.000000,530.750000,530.750000,607070
2022-04-20,535.700012,540.599976,531.549988,536.700012,536.700012,363342
2022-04-21,542.900024,542.900024,537.500000,539.200012,539.200012,608483
2022-04-22,535.450012,540.849976,530.700012,537.849976,537.849976,164890
